EXPOCODE 3250031_1   WHP-ID P31     CRUISE DATES 012594 TO 021994         20020814WHPOSIODM                                                                                                          *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  TCARBN  ALKALI      PH  PHTEMP  CFC-11  CFC-12         QUALT1         QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG           DEG C PMOL/KG PMOL/KG                             *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                             *
       4       1      19      19  1808.0  2.3746 34.6135   146.5  2.2488 34.6129   147.9  109.90   35.44    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   0.016   0.001 22222222599932 22222222599932
       4       1      18      18  2010.3  2.1583 34.6312   150.5  2.0186 34.6316   151.1  115.17   35.29    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222599999 22222222599999
       4       1      17      17  2212.0  2.0231 34.6424   152.7  1.8681 34.6421   153.4  118.11   35.19    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222599999 22222222599999
       4       1      16      16  2412.0  1.9055 34.6529   157.5  1.7349 34.6543   156.2  120.67   34.94    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   0.004  -0.003 22222222599922 22222222599922
       4       1      15      15  2510.6  1.8604 34.6564   157.5  1.6818 34.6560   157.0  121.64   34.84    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222599999 22222222599999
       4       1      14      14  2608.0  1.8066 34.6611   159.0  1.6201 34.6605   158.7  122.62   34.59    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222599999 22222222599999
       4       1      13      13  2706.2  1.7687 34.6646   161.1  1.5739 34.6646   160.4  123.19   34.70    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   0.007   0.014 22222222599923 22222222599923
       4       1      12      12  2804.2  1.7522 34.6664   159.5  1.5486 34.6657   160.6  123.57   34.60    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222599999 22222222599999
       4       1      11      11  2903.8  1.7192 34.6693   162.0  1.5069 34.6685   162.3  123.74   34.55    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222599999 22222222599999
       4       1      10      10  3004.9  1.6892 34.6721   163.6  1.4677 34.6714   163.4  124.12   34.61    0.00   -9.00    -9.0    -9.0 -9.0000   -9.00   0.007  -0.004 22222222599922 22222222599922
       4       1       9       9  3111.1  1.6418 34.6761   166.9  1.4111 34.6751   165.2  124.69   34.56    0.00    2.43    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       4       1       8       8  3216.5  1.6085 34.6784   166.7  1.3682 34.6776   169.6  124.26   34.31    0.00    2.41    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       4       1       7       7  3322.0  1.5749 34.6811   170.5  1.3250 34.6803   169.9  124.24   34.16    0.00    2.42    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       4       1       6       6  3425.8  1.5528 34.6832   171.7  1.2928 34.6828   171.1  124.01   34.11    0.00    2.42    -9.0    -9.0 -9.0000   -9.00   0.013  -0.005 22222222299922 22222222299922
       4       1       5       5  3529.7  1.5239 34.6857   173.2  1.2541 34.6985   173.1  121.57   33.61    0.00    2.39    -9.0    -9.0 -9.0000   -9.00   0.015   0.000 32244444499922 32244444499922
       4       1       4       4  3633.0  1.5133 34.6869   174.4  1.2331 34.6849   174.2  123.35   33.87    0.00    2.40    -9.0    -9.0 -9.0000   -9.00   0.007   0.004 22222222299966 22222222299966
       4       1       3       3  3735.0  1.4988 34.6886   173.7  1.2083 34.6873   175.7  123.32   33.77    0.00    2.39    -9.0    -9.0 -9.0000   -9.00   0.008  -0.002 22222222299922 22222222299922
       4       1       2       2  3836.9  1.4927 34.6896   177.5  1.1915 34.6892   176.3  123.30   33.62    0.00    2.40    -9.0    -9.0 -9.0000   -9.00  -9.000  -9.000 22222222299999 22222222299999
       4       1       1       1  3938.2  1.4847 34.6908   179.5  1.1729 34.6904   177.0  123.47   33.57    0.00    2.39    -9.0    -9.0 -9.0000   -9.00   0.007  -0.005 22222222299922 22222222299922
